PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072173341-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072173341-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074021605-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074021605-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074101563-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074101563-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073047064-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073047064-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072338662-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072338662-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073065504-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073065504-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400070476308-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400070476308-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072418761-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072418761-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072972528-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072972528-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074058086-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074058086-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072231545-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072231545-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074044300-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074044300-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072525441-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072525441-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072167426-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072167426-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072347788-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072347788-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072498946-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072498946-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072499506-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072499506-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072402484-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072402484-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073091740-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073091740-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072188083-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072188083-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072624541-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072624541-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073070744-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073070744-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074019500-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074019500-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073089207-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073089207-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073046587-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073046587-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072345303-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072345303-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073237327-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073237327-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074094180-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074094180-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072624665-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072624665-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074065669-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074065669-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072354420-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072354420-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073090387-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073090387-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072464088-NOVO R$ 836,07","836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072464088-NOVO R$ 836,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073283305-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073283305-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072518362-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072518362-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074034905-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074034905-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072186186-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072186186-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072374402-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072374402-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072236486-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072236486-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400070593565-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400070593565-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072953684-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072953684-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073028643-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073028643-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073097283-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073097283-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072231800-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072231800-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072232683-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072232683-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400076360761-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400076360761-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072707221-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072707221-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073081709-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073081709-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072636842-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072636842-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072366283-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072366283-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072205804-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072205804-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072171303-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072171303-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072347648-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072347648-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074103627-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074103627-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073070900-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073070900-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074057468-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074057468-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072443520-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072443520-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400071807006-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400071807006-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073306544-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073306544-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072186129-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072186129-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073114781-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073114781-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072185568-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072185568-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074093646-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074093646-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400076383300-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400076383300-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073240362-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073240362-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072229341-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072229341-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073305843-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073305843-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072323862-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072323862-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072238342-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072238342-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074094784-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074094784-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072430220-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072430220-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072443140-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072443140-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072188869-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072188869-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074156245-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074156245-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072376522-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072376522-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074067343-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074067343-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400076414261-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400076414261-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072178969-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072178969-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072335361-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072335361-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074052345-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074052345-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072257383-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072257383-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072336906-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072336906-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073024329-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073024329-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073003927-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073003927-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072936747-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072936747-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072415007-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072415007-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072499902-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072499902-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073256822-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073256822-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072435203-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072435203-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072736261-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072736261-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073217386-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073217386-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074084421-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074084421-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073304168-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073304168-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072952728-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072952728-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073046108-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073046108-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,"SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072695442-NOVO R$ 836,07","836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072695442-NOVO R$ 836,07"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072453461-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400072453461-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074024104-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400074024104-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073118246-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073118246-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073949368-NOVO -,"836,07",836.07,"1,00 un SMARTPHONE XIAOMI REDMI A3 X //IMEI:867400073949368-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI POCO C65 //IMEI:860044073144724-NOVO -,"1.395,00",1395.0,"1,00 un SMARTPHONE XIAOMI POCO C65 //IMEI:860044073144724-NOVO -"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078542346-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078542346-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078369526-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078369526-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071848385-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071848385-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071554942-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071554942-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078304929-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078304929-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071567043-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071567043-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078294740-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776078294740-"
ADM 0800100_0744_2025 de 30_09_2025.PDF,1.0,SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071576523-,"1.412,67",1412.67,"1,00 un SMARTPHONE XIAOMI REDMI NOTE 13 //IMEI:865776071576523-"
