pdf,quantidade,descricao,valor_unitario,valor_total
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO C50, 32GB, INDIA",1059.79,1059.79
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB, CHINAREDMI",1059.79,1059.79
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A, 32GB, CHINA",2119.58,4239.16
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12 S, 256GB, CHINA",3179.37,9538.11
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 10A SPORT, 128GB, INDIA, SN:",4239.16,16956.64
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI POCO M5, 128GB, CHINA",2119.58,4239.16
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB, CHINA SN NO",7418.53,51929.71
ADM 0800100_0734_2025 de 30_09_2025.PDF,11,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB, CHINA SN NO",11657.69,128234.59
ADM 0800100_0734_2025 de 30_09_2025.PDF,80,"SMARTPHONE XIAOMI REDMI NOTE 12 , 128GB CHINA, NUMERO DE",1034.54,82763.2
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME 11 PRO MAIS 56 CHINA,256GB, NUMERO DE",3776.16,7552.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C53 CHINA,128GB, NUMERO DE SERIE NO",3776.16,7552.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C30S CHINA,326GB, NUMERO DE SERIE NO",3776.16,7552.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE OPPO RENO7 CHINA,128GB, NUMERO DE SERIE NO",1888.08,1888.08
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA,SN:",3139.68,9419.04
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE MOTOROLA MOTO G 52, 64GB CHINA, IMEI 1 :",641.76,641.76
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN: 50524;63X806270,",4149.52,16598.08
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO M4, 64GB 5G CHINA,SN:",1037.38,1037.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 10 PRO, 128GB CHINA,SN:",1037.38,1037.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 10, 128GB 5G CHINA,SN:",1037.38,1037.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN:",1037.38,1037.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12, 128GB INDIA,SN:",1037.38,1037.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME C55, 256GB CHINA,SN: 3814161810010700,",3914.64,7829.28
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 5G 256GB 8GB RAM,1240.0,1240.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 5G 256GB 8GB RAM,1240.0,1240.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE POCO X6 PRO 5G 512GB 12GB RAM,1140.0,1140.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,500.0,500.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,500.0,500.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,500.0,500.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,500.0,500.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,500.0,500.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,500.0,500.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE SAMSUNG GALAXY A04E 32GB 3GB RAM,440.23,440.23
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,655.39,655.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,655.39,655.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,655.39,655.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE XIAOMI REDMI 13C 256GB 8GB RAM,655.39,655.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE REALME C53 256GB 8GB RAM,924.0,924.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI XIAOMI 12, 256GB CHINA,SN:",1035.62,1035.62
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12, 256GB",1035.62,1035.62
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 13C, 128GB CHINA,SN:",1035.62,1035.62
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 12,128GB CHINA,SN NA PLANILHA",2122.76,4245.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO,256GB CHINA,SN NA",1061.38,1061.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO F5 5G, 256GB CHINA,SN NA PLANILHA",1061.38,1061.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 10 2022,128GB CHINA,SN NA PLANILHA",1061.38,1061.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,12,"SMARTPHONE XIAOMI POCO M5 , 128GB CHINA,SN NA PLANILHA DO",12736.56,152838.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,34,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA,SN NA PLANILHA DO",1061.38,36086.92
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12, 128GB CHINA,SN NA PLANILHA DO",1061.38,1061.38
ADM 0800100_0734_2025 de 30_09_2025.PDF,103,"SMARTPHONE XIAOMI REDMI NOTE 12S, 256GB CHINA,SN NA",1061.38,109322.14
ADM 0800100_0734_2025 de 30_09_2025.PDF,53,"SMARTPHONE XIAOMI REDMI 12C, 128GB CHINA,SN NA PLANILHA DO",1061.38,56253.14
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12,256GB CHINA,SN:",4165.8,16663.2
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE OPPO A78, 256GB CHINA,SN: 77E213B4, 587F7965,",7860.0,31440.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE OPPO N69, 256GB CHINA,SN:",5895.0,17685.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 12, 256GB CHINA,SN:",2074.92,4149.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB,SN:49574/63VQ11930 R$ 4.149,84",4149.84,16599.36
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO F5, 256GB CHINA,SN:",1037.46,1037.46
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB CHINA,SN:",1037.46,1037.46
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:50524/63X600072,",3112.38,9337.14
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE REALME C55, 256GB CHINA,SN: 3A30161910013113/// R$ 1.957,48",1957.48,1957.48
ADM 0800100_0734_2025 de 30_09_2025.PDF,83,"SMARTPHONE XIAOMI POCO M5 ,128GB CHINA, SN EM PLANILHA DO",1029.11,85416.13
ADM 0800100_0734_2025 de 30_09_2025.PDF,25,"SMARTPHONE XIAOMI REDMI NOTE 12, 128GB CHINA, SN EM",1029.11,25727.75
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA, SN EM PLANILHA DO",7203.77,50426.39
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 11 PRIME, 64GB",3131.16,9393.48
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 13C, 128GB, SN:51260/63ZM01267",4174.88,16699.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 13C,128GB",1043.72,1043.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12C, 64GB, SN: 45785/W3Y401754",4174.88,16699.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI 12C, 64GB,SN: 45771/W3Y400598",4174.88,16699.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI 12C, 64GB",1043.72,1043.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2, 64GB,SN: 50526/63XW12973",4174.88,16699.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2,64GB,SN: 50526/63XW07703",4174.88,16699.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI A2,64GB, SN: 50526/63XW11783",4174.88,16699.52
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI A2, 64GB CHINA,SN:",3131.16,9393.48
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE REALME C53,128GB,SN: 0173A17125102824",7877.12,31508.48
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE REALME C53,128GB CHINA,SN: 0173A131251057E8/// R$ 1.969,28",1969.28,1969.28
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE REALME C51,128GB,IMEI: 866351060276755",7877.12,31508.48
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE REALME C51,128GB CHINA,IMEI: 866351060276615/// R$ 1.969,28",1969.28,1969.28
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 13,128GB CHINA,SN:",1043.72,1043.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE MOTOROLA MOTO E 22I, 32GB,IMEI: R$ 2.560,08",2560.08,10240.32
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE MOTOROLA MOTO E 22I,32GB CHINA,IMEI:",640.02,640.02
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO 5G, 256GB CHINA, SN NA",1033.84,1033.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,80,"SMARTPHONE XIAOMI REDMI 12, 256GB CHINA, SN NA PLANILHA DO",1033.84,82707.2
ADM 0800100_0734_2025 de 30_09_2025.PDF,50,"SMARTPHONE XIAOMI REDMI 13C,256GB CHINA, SN NA PLANILHA DO",1033.84,51692.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,72,"SMARTPHONE XIAOMI REDMI 13C, 256GB INDIA SN NA PLANILHA DO",1045.22,75255.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,25,"SMARTPHONE XIAOMI POCO C65,256GB CHINA ,SN NA PLANILHA DO",1056.46,26411.5
ADM 0800100_0734_2025 de 30_09_2025.PDF,20,"SMARTPHONE XIAOMI POCO M6 PRO, 512GB CHINA ,SN NA PLANILHA",1056.46,21129.2
ADM 0800100_0734_2025 de 30_09_2025.PDF,10,"SMARTPHONE XIAOMI REDMI 13C,128GB CHINA ,SN NA PLANILHA DO",10564.6,105646.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,100,"SMARTPHONE REALME NOTE 50,64GB ORIGEM NAO IDENTIFICADA",1993.32,199332.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,100,"SMARTPHONE REALME NOTE 50, 128GB CHINA ,SN NA PLANILHA DO",1993.32,199332.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,85,"SMARTPHONE XIAOMI REDMI 13C, 256GB CHINA SN NA PLANILHA DO",1048.87,89153.95
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI 12C,128GB CHINA SN NA PLANILHA DO",3146.61,9439.83
ADM 0800100_0734_2025 de 30_09_2025.PDF,23,"SMARTPHONE XIAOMI REDMI 12C, 64GB CHINA SN NA PLANILHA DO",1048.87,24124.01
ADM 0800100_0734_2025 de 30_09_2025.PDF,10,"SMARTPHONE XIAOMI POCO C65,128GB CHINA SN NA PLANILHA DO",10488.7,104887.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 13,256GB CHINA SN NA PLANILHA",3146.61,9439.83
ADM 0800100_0734_2025 de 30_09_2025.PDF,78,"SMARTPHONE XIAOMI REDMI 13C,128GB CHINA ,SN NA PLANILHA DO",1050.99,81977.22
ADM 0800100_0734_2025 de 30_09_2025.PDF,60,"SMARTPHONE XIAOMI REDMI 12,256GB CHINA ,SN NA PLANILHA DO",1050.99,63059.4
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB CHINA ,SN NA",2101.98,4203.96
ADM 0800100_0734_2025 de 30_09_2025.PDF,100,"SMARTPHONE XIAOMI POCO C 65,256GB CHINA ,SN NA PLANILHA DO",1050.99,105099.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,50,"SMARTPHONE XIAOMI POCO M6 PRO, 256GB CHINA ,SN NA PLANILHA",1050.99,52549.5
ADM 0800100_0734_2025 de 30_09_2025.PDF,105,"SMARTPHONE XIAOMI REDMI NOTE 12S,256GB CHINA ,SN NA",1050.99,110353.95
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 13 PRO ,256GB CHINA ,SN NA",1050.99,1050.99
ADM 0800100_0734_2025 de 30_09_2025.PDF,50,"SMARTPHONE XIAOMI POCO M6 PRO, 512GB CHINA ,SN NA PLANILHA",1050.99,52549.5
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE APPLE APARENTA SER IPHONE 11 CHINA SEM CAIXA E,1487.25,1487.25
ADM 0800100_0734_2025 de 30_09_2025.PDF,93,"SMARTPHONE XIAOMI REDMI 12C,128GB CHINA,SN: NUMERO DE",1043.44,97039.92
ADM 0800100_0734_2025 de 30_09_2025.PDF,159,"SMARTPHONE XIAOMI REDMI NOTE 12S,256GB CHINA,SN: NUMERO",1043.44,165906.96
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE REALME 11 PRO MAIS , 512GB 5G CHINA,SN: NUMERO",3937.52,7875.04
ADM 0800100_0734_2025 de 30_09_2025.PDF,15,"SMARTPHONE XIAOMI POCO M5,128GB CHINA,SN: NUMERO DE SERIE",15651.6,234774.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,38,"SMARTPHONE XIAOMI REDMI 13C, 128GB CHINA,SN: NUMERO DE",1043.44,39650.72
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI POCO M4,128GB 5G CHINA,SN: NUMERO DE",2086.88,4173.76
ADM 0800100_0734_2025 de 30_09_2025.PDF,6,"SMARTPHONE XIAOMI POCO M5S, 128GB CHINA,SN: NUMERO DE",6260.64,37563.84
ADM 0800100_0734_2025 de 30_09_2025.PDF,10,"SMARTPHONE XIAOMI POCO C40, 64GB CHINA,SN: NUMERO DE SERIE",10434.4,104344.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,39,"SMARTPHONE XIAOMI REDMI 10 2022, 128GB CHINA,SN: NUMERO DE",1043.44,40694.16
ADM 0800100_0734_2025 de 30_09_2025.PDF,93,"SMARTPHONE XIAOMI REDMI NOTE 12, 256GB CHINA,SN: NUMERO",1043.44,97039.92
ADM 0800100_0734_2025 de 30_09_2025.PDF,65,"SMARTPHONE XIAOMI REDMI NOTE 12,128GB CHINA,SN: NUMERO DE",1043.44,67823.6
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB 5G CHINA,SN:",4173.76,16695.04
ADM 0800100_0734_2025 de 30_09_2025.PDF,10,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 256GB 5G CHINA,SN:",10434.4,104344.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,48,"SMARTPHONE XIAOMI REDMI 12,128GB INDIA,SN: NUMERO DE SERIE",1043.44,50085.12
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO X5,128GB 5G CHINA,SN: NUMERO DE",1043.44,1043.44
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI POCO X5, 256GB 5G INDIA,SN: NUMERO DE",1043.44,1043.44
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO ,256GB CHINA,SN:",3130.32,9390.96
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"SMARTPHONE XIAOMI POCO X5 PRO ,256GB 5G INDIA,SN: NUMERO",4173.76,16695.04
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 11S, 128GB CHINA,SN: NUMERO",2086.88,4173.76
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE XIAOMI REDMI NOTE 12 PRO, 128GB CHINA,SN:",1043.44,1043.44
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,"SMARTPHONE XIAOMI XIAOMI 12 LITE ,256GB CHINA,SN: NUMERO DE",3130.32,9390.96
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI NOTE 11S,128GB 5G CHINA,SN:",2086.88,4173.76
ADM 0800100_0734_2025 de 30_09_2025.PDF,5,"SMARTPHONE XIAOMI REDMI 10A, 128GB CHINA,SN: NUMERO DE",5217.2,26086.0
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,"SMARTPHONE REALME C55, 256GB CHINA,SN: NUMERO DE SERIE NA",1968.76,1968.76
