PDF,Quantidade,Descrição,Valor (texto),Valor (numérico),Linha Original
ADM 0800100_0733_2025 de 30_09_2025.PDF,4,SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA,"3.486,72",R$ 3486.72,"4,00 un SMARTPHONE XIAOMI REDMI NOTE 14 256GB CHINA/// R$ 3.486,72"
ADM 0800100_0733_2025 de 30_09_2025.PDF,9,SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA,"4.392,90",R$ 4392.90,"9,00 un SMARTPHONE XIAOMI REDMI 13 128GB NS:EM ANEXO CHINA/// R$ 4.392,90"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,TELEFONE CELULAR BLU BOLD Z4 MUSIC,"348,00",R$ 348.00,"3,00 un TELEFONE CELULAR BLU BOLD Z4 MUSIC/// R$ 348,00"
ADM 0800100_0734_2025 de 30_09_2025.PDF,4,"TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA","704,88",R$ 704.88,"4,00 un TELEFONE CELULAR BLU BOLD LIKE US, Z4 MUSIC CHINA/// R$ 704,88"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,"SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA","2.193,36",R$ 2193.36,"2,00 un SMARTPHONE XIAOMI REDMI 9A SPORT, 32GB INDIA 37669;82XF02872 E 37669;82XF02871///R$ 2.193,36"
ADM 0800100_0734_2025 de 30_09_2025.PDF,7,SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO,"7.676,76",R$ 7676.76,"7,00 un SMARTPHONE XIAOMI REDMI A1 32GB CHINA VIDE EM DESCRICAO 10835.721223/2023-40///R$ 7.676,76"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA,"2.193,36",R$ 2193.36,"2,00 un SMARTPHONE XIAOMI REDMI 9A SPORT 32GB INDIA 36636;G2Q213319 E 36636;E2PV06143///R$ 2.193,36"
ADM 0800100_0734_2025 de 30_09_2025.PDF,2,SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI:,"1.344,98",R$ 1344.98,"2,00 un SMARTPHONE MOTOROLA MOTO E 40 64GB CHINA IMEI: 351891203045999 E 351891203046252///R$ 1.344,98"
ADM 0800100_0734_2025 de 30_09_2025.PDF,3,SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI:,"2.017,47",R$ 2017.47,"3,00 un SMARTPHONE MOTOROLA MOTO G 22 64GB CHINA IMEI: 356965738116932, 356965738118060 E 356965738109473///R$ 2.017,47"
ADM 0800100_0734_2025 de 30_09_2025.PDF,1,SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI:,"672,49",R$ 672.49,"1,00 un SMARTPHONE MOTOROLA MOTO G 31 64GB CHINA IMEI: 356420664064896///R$ 672,49"
ADM 0800100_0734_2025 de 30_09_2025.PDF,12,SMARTPHONE MOTOROLA MOTO E 20 32GB CHINA VIDE EM,"8.069,88",R$ 8069.88,"12,00 un SMARTPHONE MOTOROLA MOTO E 20 32GB CHINA VIDE EM DESCRICAO 10835.721223/2023-40///R$ 8.069,88"
